,ActivityCode,ActivityName
0,POWER GENERATION,POWER GENERATION
1,DISTRIBUTION SERVICES,DISTRIBUTION SERVICES
2,OUTREACH,OUTREACH
3,POWER DELIVERY SUPPORT,POWER DELIVERY SUPPORT
4,TRANSMISSION SERVICES,TRANSMISSION SERVICES
5,CONSERVATION REBATES AND INCENTIVES,CONSERVATION REBATES AND INCENTIVES
6,DEMAND SIDE MANAGEMENT,DEMAND SIDE MANAGEMENT
7,BILLING AND REVENUE MEASUREMENT,BILLING AND REVENUE MEASUREMENT
8,CUSTOMER CONTACT CENTER,CUSTOMER CONTACT CENTER
9,311 CITY-WIDE CALL CENTER,311 CITY-WIDE CALL CENTER
10,POWER SUPPLY & ERCOT RECOVERABLE,POWER SUPPLY & ERCOT RECOVERABLE
11,DEPARTMENTAL SUPPORT SERVICES,DEPARTMENTAL SUPPORT SERVICES
12,INVESTIGATIONS,INVESTIGATIONS
13,OTHER REQUIREMENTS,OTHER REQUIREMENTS
14,DEBT TRANSFERS,DEBT TRANSFERS
15,INTERFUND TRANSFERS,INTERFUND TRANSFERS
16,MISCELLANEOUS,MISCELLANEOUS
17,REMEDIATION,REMEDIATION
18,BULK COLLECTION,BULK COLLECTION
19,TRASH COLLECTION,TRASH COLLECTION
20,HHW COLLECTION,HHW COLLECTION
21,ORGANICS COLLECTION AND PROCESSING,ORGANICS COLLECTION AND PROCESSING
22,RECYCLING COLLECTION,RECYCLING COLLECTION
23,LITTER ABATEMENT,LITTER ABATEMENT
24,HOMELESSNESS,HOMELESSNESS
25,DIVERSION FACILITIES,DIVERSION FACILITIES
26,ORDINANCE COMPLIANCE,ORDINANCE COMPLIANCE
27,STRATEGIC INITIATIVES,STRATEGIC INITIATIVES
28,OPERATIONS SUPPORT SERVICES,OPERATIONS SUPPORT SERVICES
29,GOLF,GOLF
30,PATROL,PATROL
31,TRANSFERS,TRANSFERS
32,CASE INVESTIGATION,CASE INVESTIGATION
33,CODE EDUCATION AND COLLABORATION,CODE EDUCATION AND COLLABORATION
34,LICENSING & REGISTRATION COMPLIANCE,LICENSING & REGISTRATION COMPLIANCE
35,"CASE REVIEW, PREPARATION AND ENFORCEMENT","CASE REVIEW, PREPARATION AND ENFORCEMENT"
36,ADVANCED METERING INFRASTRUCTURE,ADVANCED METERING INFRASTRUCTURE
37,CUSTOMER SERVICES CENTER,CUSTOMER SERVICES CENTER
38,DATA ANALYTICS,DATA ANALYTICS
39,KEY ACCOUNTS OFFICE,KEY ACCOUNTS OFFICE
40,PUBLIC AFFAIRS,PUBLIC AFFAIRS
41,WATER METER MAINTENANCE,WATER METER MAINTENANCE
42,FACILITY ENGINEERING,FACILITY ENGINEERING
43,SCADA ENGINEERING & SUPPORT,SCADA ENGINEERING & SUPPORT
44,PIPELINE CIP PROJECT DELIVERY,PIPELINE CIP PROJECT DELIVERY
45,PIPELINE ENGINEERING AND OPERATIONS SUPPORT,PIPELINE ENGINEERING AND OPERATIONS SUPPORT
46,"ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SUPPORT","ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SUPPORT"
47,WATER CONSERVATION,WATER CONSERVATION
48,WILDLAND CONSERVATION,WILDLAND CONSERVATION
49,INFRASTRUCTURE MANAGEMENT,INFRASTRUCTURE MANAGEMENT
50,SYSTEMS PLANNING,SYSTEMS PLANNING
51,UTILITY DEVELOPMENT SERVICES,UTILITY DEVELOPMENT SERVICES
52,OPERATIONS SUPPORT,OPERATIONS SUPPORT
53,WATER DISTRIBUTION OPERATIONS,WATER DISTRIBUTION OPERATIONS
54,PATROL SUPPORT,PATROL SUPPORT
55,CENTRALIZED INVESTIGATIONS,CENTRALIZED INVESTIGATIONS
56,ENVIRONMENTAL ENGINEERING & TECHNICAL SERVICES,ENVIRONMENTAL ENGINEERING & TECHNICAL SERVICES
57,ORGANIZED CRIME,ORGANIZED CRIME
58,WATER TREATMENT OPERATIONS,WATER TREATMENT OPERATIONS
59,OTHER UTILITY PROGRAM REQUIREMENTS,OTHER UTILITY PROGRAM REQUIREMENTS
60,RECLAIMED WATER SERVICES SUPPORT,RECLAIMED WATER SERVICES SUPPORT
61,FORENSICS SCIENCE SERVICES,FORENSICS SCIENCE SERVICES
62,AIR OPERATIONS,AIR OPERATIONS
63,WASTEWATER COLLECTION OPERATIONS,WASTEWATER COLLECTION OPERATIONS
64,COMMUNICATIONS,COMMUNICATIONS
65,WASTEWATER TREATMENT OPERATIONS,WASTEWATER TREATMENT OPERATIONS
66,STRATEGIC SUPPORT,STRATEGIC SUPPORT
67,SPECIAL OPERATIONS,SPECIAL OPERATIONS
68,VICTIM SERVICES,VICTIM SERVICES
69,"INSPECTION, REVIEW, AND SUPPORT","INSPECTION, REVIEW, AND SUPPORT"
70,CORRIDOR PROGRAM IMPLEMENTATION,CORRIDOR PROGRAM IMPLEMENTATION
71,TRANSPORTATION ENGINEERING,TRANSPORTATION ENGINEERING
72,ACTIVE TRANSPORTATION AND STREET DESIGN,ACTIVE TRANSPORTATION AND STREET DESIGN
73,TRANSPORTATION DEMAND MANAGEMENT,TRANSPORTATION DEMAND MANAGEMENT
74,TRANSPORTATION PLANNING,TRANSPORTATION PLANNING
75,TRANSPORTATION SYSTEMS DEVELOPMENT,TRANSPORTATION SYSTEMS DEVELOPMENT
76,SIGNS AND MARKINGS,SIGNS AND MARKINGS
77,ARTERIAL MANAGEMENT,ARTERIAL MANAGEMENT
78,VISION ZERO,VISION ZERO
79,EMERGING MOBILITY,EMERGING MOBILITY
80,PARKING MANAGEMENT,PARKING MANAGEMENT
81,BIKEWAYS PROGRAM AND PROJECT DEVELOPMENT,BIKEWAYS PROGRAM AND PROJECT DEVELOPMENT
82,TRANSIT SIGNAL PRIORITY PARENT,TRANSIT SIGNAL PRIORITY PARENT
83,SMART MOBILITY INITIATIVES,SMART MOBILITY INITIATIVES
84,MAYOR AND COUNCIL ADMIN COSTS,MAYOR AND COUNCIL ADMIN COSTS
85,MAYOR,MAYOR
86,PLACE 01,PLACE 01
87,PLACE 02,PLACE 02
88,PLACE 03,PLACE 03
89,PLACE 04,PLACE 04
90,PLACE 05,PLACE 05
91,PLACE 06,PLACE 06
92,PLACE 07,PLACE 07
93,PLACE 08,PLACE 08
94,PLACE 09,PLACE 09
95,PLACE 10,PLACE 10
96,AGENDA PREPARATION,AGENDA PREPARATION
97,CITY MANAGEMENT,CITY MANAGEMENT
98,HEALTH AND WELLNESS,HEALTH AND WELLNESS
99,OFFICE OF CIVIL RIGHTS,OFFICE OF CIVIL RIGHTS
100,EQUITY OFFICE,EQUITY OFFICE
101,OFFICE OF HOMELAND SECURITY & EMERGENCY MANAGEMENT,OFFICE OF HOMELAND SECURITY & EMERGENCY MANAGEMENT
102,GOVERNMENT RELATIONS,GOVERNMENT RELATIONS
103,INNOVATION OFFICE,INNOVATION OFFICE
104,LABOR RELATIONS,LABOR RELATIONS
105,OFFICE OF THE CHIEF MEDICAL OFFICER,OFFICE OF THE CHIEF MEDICAL OFFICER
106,POLICE OVERSIGHT MONITORING,POLICE OVERSIGHT MONITORING
107,RECRUITING,RECRUITING
108,SUSTAINABILITY OFFICE,SUSTAINABILITY OFFICE
109,RESILIENCE,RESILIENCE
110,PROJECT CONNECT OFFICE,PROJECT CONNECT OFFICE
111,ELECTIONS,ELECTIONS
112,RECORDS AND INFORMATION MANAGEMENT SERVICES,RECORDS AND INFORMATION MANAGEMENT SERVICES
113,CASEFLOW MANAGEMENT,CASEFLOW MANAGEMENT
114,COMPLIANCE,COMPLIANCE
115,CIVIL PARKING ADMINISTRATION,CIVIL PARKING ADMINISTRATION
116,CUSTOMER SERVICES,CUSTOMER SERVICES
117,CENTRAL BOOKING SUPPORT,CENTRAL BOOKING SUPPORT
118,COURT OPERATIONS,COURT OPERATIONS
119,COMMUNITY SERVICE RESTITUTION,COMMUNITY SERVICE RESTITUTION
120,REHABILITATION SERVICES,REHABILITATION SERVICES
121,CENTRAL BOOKING,CENTRAL BOOKING
122,MUNICIPAL COURT SERVICES,MUNICIPAL COURT SERVICES
123,YOUTH CASE MANAGEMENT,YOUTH CASE MANAGEMENT
124,COURT TECHNOLOGY,COURT TECHNOLOGY
125,SECURITY SERVICES,SECURITY SERVICES
126,ECONOMIC AND EMERGENCY RESPONSE,ECONOMIC AND EMERGENCY RESPONSE
127,INFORMATION SECURITY OFFICE,INFORMATION SECURITY OFFICE
128,BUILDING INSPECTION,BUILDING INSPECTION
