,Program_id,ProgramName
0,"POWER GENERATION, MARKET OPERATIONS & RESOURCE PLANNING","POWER GENERATION, MARKET OPERATIONS & RESOURCE PLANNING"
1,ELECTRIC SERVICE DELIVERY,ELECTRIC SERVICE DELIVERY
2,EMERGENCY PREVENTION,EMERGENCY PREVENTION
3,CUSTOMER ENERGY SOLUTIONS,CUSTOMER ENERGY SOLUTIONS
4,CUSTOMER CARE,CUSTOMER CARE
5,POWER SUPPLY,POWER SUPPLY
6,SUPPORT SERVICES,SUPPORT SERVICES
7,"TRANSFERS, DEBT SERVICE, AND OTHER REQUIREMENTS","TRANSFERS, DEBT SERVICE, AND OTHER REQUIREMENTS"
8,MISCELLANEOUS,MISCELLANEOUS
9,REMEDIATION,REMEDIATION
10,COLLECTION SERVICES,COLLECTION SERVICES
11,LITTER ABATEMENT,LITTER ABATEMENT
12,WASTE DIVERSION,WASTE DIVERSION
13,OPERATIONS SUPPORT,OPERATIONS SUPPORT
14,COMMUNITY SERVICES,COMMUNITY SERVICES
15,NEIGHBORHOOD-BASED POLICING,NEIGHBORHOOD-BASED POLICING
16,INVESTIGATIONS AND COMPLIANCE,INVESTIGATIONS AND COMPLIANCE
17,INVOLUNTARY CODE ENFORCEMENT,INVOLUNTARY CODE ENFORCEMENT
18,RECLAIM CIP TRANSFERS TO,RECLAIM CIP TRANSFERS TO
19,CUSTOMER EXPERIENCE,CUSTOMER EXPERIENCE
20,ENGINEERING SERVICES,ENGINEERING SERVICES
21,"ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SERVICES","ENVIRONMENTAL, PLANNING, AND DEVELOPMENT SERVICES"
22,OPERATIONS,OPERATIONS
23,INVESTIGATIONS,INVESTIGATIONS
24,OTHER UTILITY PROGRAM REQUIREMENTS,OTHER UTILITY PROGRAM REQUIREMENTS
25,RECLAIMED WATER SERVICES,RECLAIMED WATER SERVICES
26,FORENSIC SCIENCE OFFICE,FORENSIC SCIENCE OFFICE
27,WATER CIP TRANSFERS TO,WATER CIP TRANSFERS TO
28,WASTEWATER CIP TRANSFERS TO,WASTEWATER CIP TRANSFERS TO
29,TRANSPORTATION DEVELOPMENT AND PERMITS,TRANSPORTATION DEVELOPMENT AND PERMITS
30,CORRIDOR PROGRAM OFFICE,CORRIDOR PROGRAM OFFICE
31,TRANSPORTATION PLANNING & DESIGN,TRANSPORTATION PLANNING & DESIGN
32,TRAFFIC MANAGEMENT,TRAFFIC MANAGEMENT
33,EMERGING MOBILITY,EMERGING MOBILITY
34,MOBILITY SYSTEMS MANAGEMENT,MOBILITY SYSTEMS MANAGEMENT
35,INTERFUND TRANSFERS-OTHER,INTERFUND TRANSFERS-OTHER
36,2020 BOND - BIKEWAYS,2020 BOND - BIKEWAYS
37,2020 BOND - LOCAL TRANSIT,2020 BOND - LOCAL TRANSIT
38,TRANSPORTATION INITIATIVES,TRANSPORTATION INITIATIVES
39,TRANSFERS AND OTHER REQUIREMENTS,TRANSFERS AND OTHER REQUIREMENTS
40,MAYOR/COUNCIL,MAYOR/COUNCIL
41,CITY MANAGER'S OFFICE,CITY MANAGER'S OFFICE
42,OFFICE OF CIVIL RIGHTS,OFFICE OF CIVIL RIGHTS
43,EQUITY OFFICE,EQUITY OFFICE
44,HOMELAND SECURITY AND EMERGENCY MANAGEMENT,HOMELAND SECURITY AND EMERGENCY MANAGEMENT
45,INTERGOVERNMENTAL RELATIONS OFFICE,INTERGOVERNMENTAL RELATIONS OFFICE
46,INNOVATION OFFICE,INNOVATION OFFICE
47,LABOR RELATIONS OFFICE,LABOR RELATIONS OFFICE
48,OFFICE OF THE CHIEF MEDICAL OFFICER,OFFICE OF THE CHIEF MEDICAL OFFICER
49,OFFICE OF THE POLICE OVERSIGHT,OFFICE OF THE POLICE OVERSIGHT
50,PROFESSIONAL STANDARDS,PROFESSIONAL STANDARDS
51,SUSTAINABILITY OFFICE,SUSTAINABILITY OFFICE
52,ECONOMIC SUPPORT & RESILIENCE,ECONOMIC SUPPORT & RESILIENCE
53,PROJECT CONNECT OFFICE,PROJECT CONNECT OFFICE
54,ELECTIONS,ELECTIONS
55,AUSTIN RECORDS AND INFORMATION MANAGEMENT,AUSTIN RECORDS AND INFORMATION MANAGEMENT
56,MUNICIPAL COURT OPERATIONS,MUNICIPAL COURT OPERATIONS
57,DOWNTOWN AUSTIN COMMUNITY COURT,DOWNTOWN AUSTIN COMMUNITY COURT
58,COURT JUDICIARY,COURT JUDICIARY
59,YOUTH CASE MANAGEMENT,YOUTH CASE MANAGEMENT
60,COURT TECHNOLOGY,COURT TECHNOLOGY
61,SECURITY SERVICES,SECURITY SERVICES
62,COVID-19 RELIEF,COVID-19 RELIEF
63,DIVISION PLACEHOLDER,DIVISION PLACEHOLDER
64,INFORMATION SECURITY OFFICE,INFORMATION SECURITY OFFICE
65,BUILDING PLAN REVIEW & INSPECTIONS,BUILDING PLAN REVIEW & INSPECTIONS
66,CONSTRUCTION & ENVIRONMENTAL INSPECTIONS,CONSTRUCTION & ENVIRONMENTAL INSPECTIONS
67,LAND DEVELOPMENT REVIEW,LAND DEVELOPMENT REVIEW
68,TECHNOLOGY SURCHARGE,TECHNOLOGY SURCHARGE
