,Unit_id,UnitName
0,ENERGY PRODUCTS,ENERGY PRODUCTS
1,ENVIRONMENTAL PROJECTS,ENVIRONMENTAL PROJECTS
2,ENERGY MARKET SYSTEMS,ENERGY MARKET SYSTEMS
3,ENERGY MARKET ANALYSIS,ENERGY MARKET ANALYSIS
4,RELIABILITY COMPLIANCE PROGRAM,RELIABILITY COMPLIANCE PROGRAM
5,GENERATION MANAGEMENT SYSTEMS,GENERATION MANAGEMENT SYSTEMS
6,ENERGY SUPPLY & RISK MANAGEMENT,ENERGY SUPPLY & RISK MANAGEMENT
7,ENVIRONMENTAL MANAGEMENT,ENVIRONMENTAL MANAGEMENT
8,AE LABORATORY SERVICES,AE LABORATORY SERVICES
9,ENVIRONMENTAL FIELD SERVICE,ENVIRONMENTAL FIELD SERVICE
10,NON-NUCLEAR DECOMMISSIONING,NON-NUCLEAR DECOMMISSIONING
11,ADMINISTRATION - GENERATION,ADMINISTRATION - GENERATION
12,ILLUMINATION,ILLUMINATION
13,GENERATION PLANT SUPPORT,GENERATION PLANT SUPPORT
14,ADMINISTRATION - DECKER,ADMINISTRATION - DECKER
15,SAND HILL - ADMINISTRATION,SAND HILL - ADMINISTRATION
16,SAND HILL - OPERATIONS,SAND HILL - OPERATIONS
17,SAND HILL - ENGINEERING AND ENVIRONMENTAL,SAND HILL - ENGINEERING AND ENVIRONMENTAL
18,SAND HILL - MAINTENANCE,SAND HILL - MAINTENANCE
19,WILDFIRE MITIGATION,WILDFIRE MITIGATION
20,SAND HILL - WAREHOUSE,SAND HILL - WAREHOUSE
21,ADMIN FOR DISTRICT ENERGY,ADMIN FOR DISTRICT ENERGY
22,GENERATION ENGINEERING,GENERATION ENGINEERING
23,DECKER MAINTENANCE,DECKER MAINTENANCE
24,OPERATIONS - DECKER,OPERATIONS - DECKER
25,CHEMISTRY - DECKER,CHEMISTRY - DECKER
26,DECKER WAREHOUSE,DECKER WAREHOUSE
27,POWER PRODUCTION PROJECT & ASSET MGMT,POWER PRODUCTION PROJECT & ASSET MGMT
28,PP/DEC PROJECT MANAGEMENT,PP/DEC PROJECT MANAGEMENT
29,WHOLESALE MARKETS CORP,WHOLESALE MARKETS CORP
30,GENCO-CORPORATE,GENCO-CORPORATE
31,DISTRIBUTION PLANNING,DISTRIBUTION PLANNING
32,OPERATIONS ENGINEERING,OPERATIONS ENGINEERING
33,DISTRIBUTION CONSTRUCTION & MAINTENANCE-NORTH,DISTRIBUTION CONSTRUCTION & MAINTENANCE-NORTH
34,DIST DESIGN NORTH,DIST DESIGN NORTH
35,ELECTRIC MAINT NON AE,ELECTRIC MAINT NON AE
36,ELECTRICAL MAINTENANCE,ELECTRICAL MAINTENANCE
37,DISTRIBUTION CONSTRUCTION & MAINTENANCE-SOUTH,DISTRIBUTION CONSTRUCTION & MAINTENANCE-SOUTH
38,DISTRIBUTION UTILITY DISPATCH,DISTRIBUTION UTILITY DISPATCH
39,NETWORK CONSTRUCTION & MAINT.,NETWORK CONSTRUCTION & MAINT.
40,DIST DESIGN SOUTH,DIST DESIGN SOUTH
41,VEGETATION MANAGEMENT CONTRACTOR INSPECTION-DISTRIBUTION,VEGETATION MANAGEMENT CONTRACTOR INSPECTION-DISTRIBUTION
42,GIS SERVICES,GIS SERVICES
43,SMART GRID OPERATIONS,SMART GRID OPERATIONS
44,PUBLIC INVOLVEMENT REAL ESTATE SERVICES & SURVEY,PUBLIC INVOLVEMENT REAL ESTATE SERVICES & SURVEY
45,INFRASTRUCTURE SERVICES,INFRASTRUCTURE SERVICES
46,VP FIELD OPERATIONS,VP FIELD OPERATIONS
47,WILDFIRE DIVISION,WILDFIRE DIVISION
48,EMERGENCY MANAGEMENT,EMERGENCY MANAGEMENT
49,POLE ATTACHMENT SERVICES,POLE ATTACHMENT SERVICES
50,QUALITY MANAGEMENT,QUALITY MANAGEMENT
51,SYSTEM OPERATIONS & ADVANCE GRID TECHNOLOGIES ADMIN,SYSTEM OPERATIONS & ADVANCE GRID TECHNOLOGIES ADMIN
52,ADVANCED GRID TECHNOLOGIES,ADVANCED GRID TECHNOLOGIES
